Month,Borough,Community District (CD),Borough Consultation Total SNAP Recipients,Borough Consultation Total SNAP Households,Borough Consultation Total Cash Assistance Recipients,Borough Consultation Total Cash Assistance Cases,Borough Consultation Total Medicaid Only Enrollees,Borough Consultation Total Medicaid Enrollees
12/01/2019,Brooklyn,K02,"12,650","8,588","2,897","1,828","6,264","12,781"
12/01/2019,Brooklyn,K03,"41,282","22,412","9,440","4,943","17,364","36,046"
12/01/2019,Brooklyn,K04,"22,119","13,720","3,920","2,179","10,256","20,217"
12/01/2019,Brooklyn,K05,"59,297","34,164","13,756","7,170","21,929","49,131"
12/01/2019,Brooklyn,K06,"9,957","6,601","1,885","1,155","4,698","9,576"
12/01/2019,Brooklyn,K07,"19,437","11,633","2,791","1,666","18,134","25,377"
12/01/2019,Brooklyn,K08,"18,676","12,199","4,792","2,888","7,795","17,618"
12/01/2019,Brooklyn,K09,"19,106","11,826","3,818","2,314","9,854","17,900"
12/01/2019,Brooklyn,K10,"15,953","9,536","1,725","1,126","14,585","19,984"
12/01/2019,Brooklyn,K11,"32,613","19,739","2,844","1,749","27,572","40,043"
12/01/2019,Brooklyn,K12,"57,528","18,780","9,739","2,423","43,781","59,256"
12/01/2019,Brooklyn,K13,"30,142","20,301","4,796","2,418","14,469","32,076"
